Date,Year,Month,Week,Day,Category,Item,Vendor,Vendor Location,District,Income/Expenses,Amount
2019-05-28,2019,May,W22,Tuesday,Telephone,Top Up Singtel Card ,7-Eleven,Blank,Clementi,Expenses,10.0
2019-05-28,2019,May,W22,Tuesday,Gift,Gift,Blank,Blank,Blank,Expenses,15.3
2019-05-28,2019,May,W22,Tuesday,Drinks,Bubble Tea ,Koi,Takashimaya,Orchard,Expenses,1.8
2019-05-28,2019,May,W22,Tuesday,Gift,Gift,Blank,Blank,Blank,Expenses,32.0
2019-05-28,2019,May,W22,Tuesday,Food,Korean BBQ ,I Am Kim,Blank,Rochor,Expenses,15.0
2019-05-28,2019,May,W22,Tuesday,Gift,Gift,Blank,Blank,Blank,Expenses,8.3
2019-05-27,2019,May,W22,Monday,Gift,Gift,Blank,Blank,Blank,Expenses,8.3
2019-05-27,2019,May,W22,Monday,Fruits,Juice ,Boost Juice Bars,Bugis Junction,Bugis,Expenses,3.0
2019-05-27,2019,May,W22,Monday,Food,Fried Seafood Hor Fun ,Food Junction,Bugis Junction,Bugis,Expenses,6.5
2019-05-27,2019,May,W22,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,100.0
2019-05-27,2019,May,W22,Monday,Snacks,Snacks ,Old Chang Kee,Clementi Mall,Clementi,Expenses,5.2
2019-05-26,2019,May,W21,Sunday,Food,Mixed Rice ,Foodfare,Clementi Mall,Clementi,Expenses,4.2
2019-05-26,2019,May,W21,Sunday,Food,Chicken Burger ,Jinjja Chicken,Clementi Mall,Clementi,Expenses,10.4
2019-05-25,2019,May,W21,Saturday,Food,Katsu Don ,Cook House,JEM,Jurong East,Expenses,5.5
2019-05-25,2019,May,W21,Saturday,Drinks,Chocolate ,Coffee Bean & Tea Leaf,JEM,Jurong East,Expenses,4.0
2019-05-25,2019,May,W21,Saturday,Food,Mixed Rice ,Foodfare,Clementi Mall,Clementi,Expenses,4.2
2019-05-24,2019,May,W21,Friday,Food,Red Mee Sua ,Food District,Blank,Rochor,Expenses,5.0
2019-05-24,2019,May,W21,Friday,Drinks,Lemon Boom ,Heytea,Blank,Clarke Quay,Expenses,2.7
2019-05-24,2019,May,W21,Friday,Dessert,Chocolate Waffle ,The Daily Scoop,Blank,Rochor,Expenses,3.9
2019-05-24,2019,May,W21,Friday,Snacks,Seaweed + Ruffles ,Cold Storage,Plaza Singapura,Dhoby Ghaut,Expenses,4.3
2019-05-24,2019,May,W21,Friday,Food,Salted Egg Chicken Rice ,Sim Lim Square,Blank,Rochor,Expenses,5.8
2019-05-23,2019,May,W21,Thursday,Groceries,Groceries ,Cold Storage,Takashimaya,Orchard,Expenses,16.0
2019-05-23,2019,May,W21,Thursday,Drinks,Bubble Tea ,Li-Ho,Peace Centre,Rochor,Expenses,1.0
2019-05-23,2019,May,W21,Thursday,Telephone,Top Up Singtel Card ,7-Eleven,Blank,Clementi,Expenses,10.0
2019-05-23,2019,May,W21,Thursday,Food,Braised Pork Rice ,Food District,Blank,Rochor,Expenses,6.0
2019-05-22,2019,May,W21,Wednesday,Food,Nasi Lemak Burger ,Mc. Donald's,Changi City Point,Expo,Expenses,8.0
2019-05-22,2019,May,W21,Wednesday,Food,Mixed Rice ,Food Clique,SIM,Clementi,Expenses,3.7
2019-05-21,2019,May,W21,Tuesday,Drinks,Beer ,Stickies Bar,Blank,Clementi,Expenses,7.0
2019-05-21,2019,May,W21,Tuesday,Food,Mixed Rice ,Food Clique,SIM,Clementi,Expenses,2.8
2019-05-21,2019,May,W21,Tuesday,Food,Mixed Rice ,Food Clique,SIM,Clementi,Expenses,3.2
2019-05-21,2019,May,W21,Tuesday,Movies,John Wick 3: Parabellum ,WE Cinema,321 Clementi,Clementi,Expenses,7.0
2019-05-20,2019,May,W21,Monday,Clothing,T-Shirt ,Uniqlo,ION Orchard,Orchard,Expenses,15.0
2019-05-20,2019,May,W21,Monday,Dessert,Churros ,Chulove,Clementi Mall,Clementi,Expenses,2.8
2019-05-20,2019,May,W21,Monday,Drinks,Bubble Tea ,Li-Ho,Clementi Mall,Clementi,Expenses,1.0
2019-05-20,2019,May,W21,Monday,Food,Jinjja Drumstick Bap Set ,Jinjja Chicken,Clementi Mall,Clementi,Expenses,9.8
2019-05-20,2019,May,W21,Monday,Food,Mixed Rice ,Foodfare,Clementi Mall,Clementi,Expenses,4.2
2019-05-19,2019,May,W20,Sunday,Snacks,Truffle Cheese Fries + Chocolate Cake ,Coffee Bean & Tea Leaf,Blank,Holland Village,Expenses,7.3
2019-05-19,2019,May,W20,Sunday,Drinks,Chocolate ,Coffee Bean & Tea Leaf,Blank,Holland Village,Expenses,4.5
2019-05-19,2019,May,W20,Sunday,Food,Fried Rice ,Holland Food Market,Blank,Holland Village,Expenses,4.5
2019-05-18,2019,May,W20,Saturday,Dessert,Churros ,Chu-Love,Clementi Mall,Clementi,Expenses,3.5
2019-05-18,2019,May,W20,Saturday,Food,Jinjja Drumstick Bap Set ,Jinjja Chicken,Clementi Mall,Clementi,Expenses,10.0
2019-05-18,2019,May,W20,Saturday,Food,Mixed Rice ,Food Clique,SIM,Clementi,Expenses,3.2
2019-05-18,2019,May,W20,Saturday,Groceries,Sunshine's DIGSTV Bread ,Fairprice Finest,Clementi Mall,Clementi,Expenses,2.4
2019-05-17,2019,May,W20,Friday,Dessert,Churros ,Chu-Love,Clementi Mall,Clementi,Expenses,2.8
2019-05-17,2019,May,W20,Friday,Food,Mixed Rice ,Foodfare,Clementi Mall,Clementi,Expenses,4.2
2019-05-16,2019,May,W20,Thursday,Groceries,Milk + Snack ,Cold Storage,Blank,Holland Village,Expenses,4.7
2019-05-16,2019,May,W20,Thursday,Food,Noodle ,Kampoeng,SIM,Clementi,Expenses,4.5
2019-05-16,2019,May,W20,Thursday,Food,Mixed Rice ,Food Clique,SIM,Clementi,Expenses,2.8
2019-05-15,2019,May,W20,Wednesday,Food,Double Mc Spicy ,Mc. Donald's,Terminal 2,Changi,Expenses,8.0
2019-05-15,2019,May,W20,Wednesday,Drinks,Green Tea ,Signature-Koi,Jewel Changi,Changi,Expenses,2.5
2019-05-15,2019,May,W20,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,200.0
2019-05-15,2019,May,W20,Wednesday,Gift,Gift,Blank,Blank,Blank,Expenses,27.0
2019-05-15,2019,May,W20,Wednesday,Food,Mixed Rice ,Food Clique,SIM,Clementi,Expenses,3.7
2019-05-14,2019,May,W20,Tuesday,Food,Mixed Rice ,Food Clique,SIM,Clementi,Expenses,2.8
2019-05-14,2019,May,W20,Tuesday,Food,Mixed Rice ,Food Clique,SIM,Clementi,Expenses,3.7
2019-05-13,2019,May,W20,Monday,Food,Noodle ,Kampoeng,SIM,Clementi,Expenses,5.0
2019-05-13,2019,May,W20,Monday,Food,Mixed Rice ,Food Clique,SIM,Clementi,Expenses,3.2
